original_SR Number,original_Address,original_RequestDate,original_Field 4,original_Num Trees,original_House Number,original_Street,original_City,original_State,original_Full Address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
SR23-02094104,2850 S KEELEY,12/4/2023," 9:28:29 AM",,2850," S KEELEY",Chicago,IL,"2850  S KEELEY, Chicago , IL",41.841454,-87.654601,"2850 South Keeley Street, Chicago, IL 60608, United States of America",,2850,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094105,2852 S KEELEY,12/4/2023," 9:28:44 AM",,2852," S KEELEY",Chicago,IL,"2852  S KEELEY, Chicago , IL",41.841403,-87.654538,"2852 South Keeley Street, Chicago, IL 60608, United States of America",,2852,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094109,2856 S KEELEY,12/4/2023," 9:28:58 AM",,2856," S KEELEY",Chicago,IL,"2856  S KEELEY, Chicago , IL",41.841348,-87.654476,"2856 South Keeley Street, Chicago, IL 60608, United States of America",,2856,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094112,2860 S KEELEY,12/4/2023," 9:29:12 AM",,2860," S KEELEY",Chicago,IL,"2860  S KEELEY, Chicago , IL",41.841283,-87.65445,"2860 South Keeley Street, Chicago, IL 60608, United States of America",,2860,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094115,2862 S KEELEY,12/4/2023," 9:29:26 AM",,2862," S KEELEY",Chicago,IL,"2862  S KEELEY, Chicago , IL",41.84122,-87.654411,"2862 South Keeley Street, Chicago, IL 60608, United States of America",,2862,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094117,2866 S KEELEY,12/4/2023," 9:29:41 AM",,2866," S KEELEY",Chicago,IL,"2866  S KEELEY, Chicago , IL",41.841141,-87.654249,"2866 South Keeley Street, Chicago, IL 60608, United States of America",,2866,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094119,2868 S KEELEY,12/4/2023," 9:29:56 AM",,2868," S KEELEY",Chicago,IL,"2868  S KEELEY, Chicago , IL",41.841072,-87.654232,"2868 South Keeley Street, Chicago, IL 60608, United States of America",,2868,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02094124,2942 S LYMAN,12/4/2023," 9:30:11 AM",,2942," S LYMAN",Chicago,IL,"2942  S LYMAN, Chicago , IL",41.840873,-87.653953,"2942 South Lyman Street, Chicago, IL 60608, United States of America",,2942,South Lyman Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133332,3055 S POPLAR,12/10/2023," 1:08:53 PM",1,3055," S POPLAR",Chicago,IL,"3055  S POPLAR, Chicago , IL",41.838541,-87.647054,"3055 South Poplar Avenue, Chicago, IL 60608, United States of America",,3055,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133334,3053 S POPLAR,12/10/2023," 1:09:06 PM",1,3053," S POPLAR",Chicago,IL,"3053  S POPLAR, Chicago , IL",41.838663,-87.647084,"3053 South Poplar Avenue, Chicago, IL 60608, United States of America",,3053,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133338,3051 S POPLAR,12/10/2023," 1:10:17 PM",1,3051," S POPLAR",Chicago,IL,"3051  S POPLAR, Chicago , IL",41.838699,-87.64718,"3051 South Poplar Avenue, Chicago, IL 60608, United States of America",,3051,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133339,3049 S POPLAR,12/10/2023," 1:10:37 PM",1,3049," S POPLAR",Chicago,IL,"3049  S POPLAR, Chicago , IL",41.83877,-87.647216,"3049 South Poplar Avenue, Chicago, IL 60608, United States of America",,3049,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133341,3047 S POPLAR,12/10/2023," 1:10:58 PM",1,3047," S POPLAR",Chicago,IL,"3047  S POPLAR, Chicago , IL",41.838844,-87.647223,"3047 South Poplar Avenue, Chicago, IL 60608, United States of America",,3047,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133342,3045 S POPLAR,12/10/2023," 1:11:19 PM",1,3045," S POPLAR",Chicago,IL,"3045  S POPLAR, Chicago , IL",41.838914,-87.647262,"3045 South Poplar Avenue, Chicago, IL, United States of America",,3045,South Poplar Avenue,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133344,3041 S POPLAR,12/10/2023," 1:11:40 PM",1,3041," S POPLAR",Chicago,IL,"3041  S POPLAR, Chicago , IL",41.838946,-87.647346,"3041 South Poplar Avenue, Chicago, IL 60608, United States of America",,3041,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133345,3039 S POPLAR,12/10/2023," 1:12:01 PM",1,3039," S POPLAR",Chicago,IL,"3039  S POPLAR, Chicago , IL",41.839004,-87.647391,"3039 South Poplar Avenue, Chicago, IL 60608, United States of America",,3039,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133347,3037 S POPLAR,12/10/2023," 1:12:22 PM",1,3037," S POPLAR",Chicago,IL,"3037  S POPLAR, Chicago , IL",41.839062,-87.647447,"3037 South Poplar Avenue, Chicago, IL 60608, United States of America",,3037,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133349,3035 S POPLAR,12/10/2023," 1:12:43 PM",1,3035," S POPLAR",Chicago,IL,"3035  S POPLAR, Chicago , IL",41.839134,-87.647475,"3035 South Poplar Avenue, Chicago, IL 60608, United States of America",,3035,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133351,3033 S POPLAR,12/10/2023," 1:13:03 PM",1,3033," S POPLAR",Chicago,IL,"3033  S POPLAR, Chicago , IL",41.839183,-87.64755,"3033 South Poplar Avenue, Chicago, IL 60608, United States of America",,3033,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133353,3029 S POPLAR,12/10/2023," 1:13:24 PM",1,3029," S POPLAR",Chicago,IL,"3029  S POPLAR, Chicago , IL",41.839234,-87.64761,"3029 South Poplar Avenue, Chicago, IL 60608, United States of America",,3029,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133357,3027 S POPLAR,12/10/2023," 1:13:45 PM",1,3027," S POPLAR",Chicago,IL,"3027  S POPLAR, Chicago , IL",41.839287,-87.647664,"3027 South Poplar Avenue, Chicago, IL 60608, United States of America",,3027,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133359,3025 S POPLAR,12/10/2023," 1:14:05 PM",1,3025," S POPLAR",Chicago,IL,"3025  S POPLAR, Chicago , IL",41.839352,-87.647687,"3025 South Poplar Avenue, Chicago, IL 60608, United States of America",,3025,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133361,3023 S POPLAR,12/10/2023," 1:14:24 PM",1,3023," S POPLAR",Chicago,IL,"3023  S POPLAR, Chicago , IL",41.8392804,-87.6479026,"3023 South Poplar Avenue, Chicago, IL, United States of America",,3023,South Poplar Avenue,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,,,
SR23-02133362,3021 S POPLAR,12/10/2023," 1:14:45 PM",1,3021," S POPLAR",Chicago,IL,"3021  S POPLAR, Chicago , IL",41.839419,-87.647741,"3021 South Poplar Avenue, Chicago, IL 60608, United States of America",,3021,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133363,3019 S POPLAR,12/10/2023," 1:15:05 PM",1,3019," S POPLAR",Chicago,IL,"3019  S POPLAR, Chicago , IL",41.839482,-87.647781,"3019 South Poplar Avenue, Chicago, IL 60608, United States of America",,3019,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133365,3017 S POPLAR,12/10/2023," 1:15:25 PM",1,3017," S POPLAR",Chicago,IL,"3017  S POPLAR, Chicago , IL",41.839529,-87.647841,"3017 South Poplar Avenue, Chicago, IL 60608, United States of America",,3017,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133366,3015 S POPLAR,12/10/2023," 1:15:46 PM",2,3015," S POPLAR",Chicago,IL,"3015  S POPLAR, Chicago , IL",41.83961,-87.64785,"3015 South Poplar Avenue, Chicago, IL, United States of America",,3015,South Poplar Avenue,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133367,3011 S POPLAR,12/10/2023," 1:16:06 PM",2,3011," S POPLAR",Chicago,IL,"3011  S POPLAR, Chicago , IL",41.839651,-87.647948,"3011 South Poplar Avenue, Chicago, IL 60608, United States of America",,3011,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133369,3007 S POPLAR,12/10/2023," 1:16:27 PM",2,3007," S POPLAR",Chicago,IL,"3007  S POPLAR, Chicago , IL",41.839744,-87.648014,"3007 South Poplar Avenue, Chicago, IL 60608, United States of America",,3007,South Poplar Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133389,2839 S ARCHER,12/10/2023," 1:22:24 PM",4,2839," S ARCHER",Chicago,IL,"2839  S ARCHER, Chicago , IL",41.842579,-87.655418,"2839 South Archer Avenue, Chicago, IL 60608, United States of America",,2839,South Archer Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133390,2833 S ARCHER,12/10/2023," 1:23:17 PM",4,2833," S ARCHER",Chicago,IL,"2833  S ARCHER, Chicago , IL",41.842704,-87.655195,"2833 South Archer Avenue, Chicago, IL 60608, United States of America",,2833,South Archer Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133391,2841 S ARCHER,12/10/2023," 1:23:31 PM",1,2841," S ARCHER",Chicago,IL,"2841  S ARCHER, Chicago , IL",41.842539,-87.655514,"2841 South Archer Avenue, Chicago, IL 60608, United States of America",,2841,South Archer Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133392,2843 S ARCHER,12/10/2023," 1:23:45 PM",1,2843," S ARCHER",Chicago,IL,"2843  S ARCHER, Chicago , IL",41.842504,-87.655609,"2843 South Archer Avenue, Chicago, IL 60608, United States of America",,2843,South Archer Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133395,2845 S ARCHER,12/10/2023," 1:23:59 PM",1,2845," S ARCHER",Chicago,IL,"2845  S ARCHER, Chicago , IL",41.842467,-87.65569,"2845 South Archer Avenue, Chicago, IL 60608, United States of America",,2845,South Archer Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133396,2851 S ARCHER,12/10/2023," 1:24:12 PM",1,2851," S ARCHER",Chicago,IL,"2851  S ARCHER, Chicago , IL",41.842384,-87.655843,"2851 South Archer Avenue, Chicago, IL, United States of America",,2851,South Archer Avenue,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133399,2853 S ARCHER,12/10/2023," 1:24:27 PM",1,2853," S ARCHER",Chicago,IL,"2853  S ARCHER, Chicago , IL",41.84235,-87.655926,"2853 South Archer Avenue, Chicago, IL 60608, United States of America",,2853,South Archer Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133402,2857 S ARCHER,12/10/2023," 1:24:42 PM",4,2857," S ARCHER",Chicago,IL,"2857  S ARCHER, Chicago , IL",41.8423339,-87.6565557,"2857 South Archer Avenue, Chicago, IL, United States of America",,2857,South Archer Avenue,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,,,
SR23-02133410,2976 S ARCHER,12/10/2023," 1:26:32 PM",1,2976," S ARCHER",Chicago,IL,"2976  S ARCHER, Chicago , IL",41.840708,-87.660503,"2976 South Archer Avenue, Chicago, IL 60608, United States of America",,2976,South Archer Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133419,2970 S ARCHER,12/10/2023," 1:28:44 PM",1,2970," S ARCHER",Chicago,IL,"2970  S ARCHER, Chicago , IL",41.840765,-87.660387,"2970 South Archer Avenue, Chicago, IL 60608, United States of America",,2970,South Archer Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133420,2968 S ARCHER,12/10/2023," 1:28:59 PM",1,2968," S ARCHER",Chicago,IL,"2968  S ARCHER, Chicago , IL",41.84081,-87.660322,"2968 South Archer Avenue, Chicago, IL, United States of America",,2968,South Archer Avenue,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133421,2966 S ARCHER,12/10/2023," 1:29:14 PM",1,2966," S ARCHER",Chicago,IL,"2966  S ARCHER, Chicago , IL",41.840778,-87.66018,"2966 South Archer Avenue, Chicago, IL 60608, United States of America",,2966,South Archer Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
